hospital_id,name,city,state,pin,contact,type,address,lat,lon
H042,"Shree Krishna Hospital, Ghaziabad",Ghaziabad,Uttar Pradesh,201001,+91-120-2345000,Private,Ghaziabad,28.6667,77.4333
H043,"CityCare Clinic, Rohini",Rohini,Delhi,110085,+91-11-27011111,Private,Rohini,28.7223,77.1212
H044,"Swasthya Niketan, Dehradun",Dehradun,Uttarakhand,248001,+91-135-6660000,Private,Dehradun,30.324,78.032
H045,"LifeCare Hospital, Gurugram",Gurugram,Haryana,122002,+91-124-5550000,Private,Gurugram,28.4595,77.0266
H046,"Urban Health Center, Pitampura",Pitampura,Delhi,110034,+91-11-27000001,Government,Pitampura,28.702,77.152
H047,"Green Valley Hospital, Noida",Noida,Uttar Pradesh,201303,+91-120-8880000,Private,Noida,28.551,77.33
H048,"Hope Clinic, Dehradun",Dehradun,Uttarakhand,248006,+91-135-2762222,Private,Dehradun,30.315,78.04
H049,"Bansal Hospital, Ghaziabad",Ghaziabad,Uttar Pradesh,201009,+91-120-7891111,Private,Ghaziabad,28.65,77.4167
H050,"Om Clinic, Delhi",New Delhi,Delhi,110001,+91-11-23370000,Private,Connaught Place,28.6315,77.2167
H051,Seth GS Medical College (affiliated),New Delhi,Delhi,110001,+91-11-23340000,Government,Central Delhi,28.6441,77.2167
H052,"Jan Aushadhi Kendra, Dehradun",Dehradun,Uttarakhand,248001,+91-135-2769000,Government,Dehradun,30.32,78.03
H053,"Practo Clinic, Gurgaon",Gurugram,Haryana,122002,+91-124-3332222,Private,Gurugram,28.4595,77.0266
H054,"Regional Cancer Centre, Delhi",New Delhi,Delhi,110029,+91-11-26500000,Government,AIIMS Area,28.567,77.21
H055,"Smile Dental Clinic, Noida",Noida,Uttar Pradesh,201301,+91-120-1112223,Private,Noida,28.5355,77.391
H056,"Kailash Hospital, Noida",Noida,Uttar Pradesh,201301,+91-120-1113334,Private,Noida,28.5355,77.391
H057,"Women & Child Hospital, Dehradun",Dehradun,Uttarakhand,248001,+91-135-2761111,Government,Dehradun,30.319,78.032
H058,"Trauma Center, New Delhi",New Delhi,Delhi,110029,+91-11-26550000,Government,AIIMS,28.5675,77.212
H059,"CarePlus Hospital, Ghaziabad",Ghaziabad,Uttar Pradesh,201009,+91-120-7892222,Private,Ghaziabad,28.65,77.4167
H060,"Wellness Point, Gurgaon",Gurugram,Haryana,122018,+91-124-9990000,Private,Gurugram,28.4678,77.0263
